Japanese	Indonesia
=========================
------------ OTHER -------------
osu		menekan
sentaku		mencuci, laundry
yasui		murah
benri		praktis
pasokon		komputer, laptop
nichiyoubi	minggu
getsuyoubi	senin
kayoubi		selasa
suiyoubi	rabu
mokuyoubi	kamis
kinyoubi	jumat
doyoubi		sabtu
hatarakimasu	bekerja




------------- Bab 2  ------------
watashi		saya, aku
anata		kamu, anda
namae		nama
anohito		orang itu
anokata		orang itu(sopan)
~san		sdr ~ (sufix untuk menyebut nama dengan sopan)
nihon		jepang
nippon		jepang
kankoku		korea
chuugoku	china, cina

hajimemashite	perkenalkan (diucapkan saat membuka perkenalan diri)
~chan		*pengganti ~san untuk anak-anak
~jin		*sufiks untuk menyatakan kewarganegaraan
sensei		guru, dosen (tidak dipakai untuk orang pertama)
kyoushi		guru, dosen
mondai		soal 
shitsumon	pertanyaan
kotae		jawaban

gakusei		pelajar, siswa
daigakusei	mahasiswa
kaishain	karyawan perusahaan
shain		karyawan perusahaan (disertai nama perusahaan)
hai		iya
iie		tidak, bukan
renshuu		latihan
shukudai	pekerjaan rumah

ginkouin	pegawai bank
ginkou		bank
byouin		rumah sakit
isha		dokter
gakkou		sekolah
daigaku		universitas
arigatou*gozaimasu	terima kasih
sumimasen	permisi (minta izin), maaf

kenkyuusha	peneliti
dare		siapa
donata		siapa (sopan)
hajimemasu	mari kita mulai
jhughou		pelajaran, kelas
shitsureidesuka	maaf, permisi (untuk menanyakan hal pribadi)
~kara kimashita	[saya] datang dari ~
doitsu		jerman
tai		thailand

ohayou[gozaimasu]	selamat pagi
konnichiha	selamat siang, selamat sore (baca : konnichiwa)
konbanha	selamat malam (baca : konbanwa)
oyasuminasai	selamat tidur
onegaishimasu	tolong, mohon
indoneshia	indonesia
amerika		amerika
~sai		~tahun (umur)
nansai		umur berapa
oikutsu		umur berapa (sopan)
igirisu		inggris
singapo-ru	singapura
[douzo]*yoroshiku*[onegaishimasu] 	salam kenal (diucapkan saat menutup perkenalan)
kochiraha ~san desu	orang ini adalah ... (nama)

ichi		satu, 1
ni		dua, 2
san		tiga, 3
shi		empat, 4
yon		empat, 4
go		lima, 5
roku		enam, 6
nana		tujuh, 7
shichi		tujuh, 7
hachi		delapan, 8
kyuu		sembilan, 9
jyuu		sepuluh, 10
ni jyuu		dua puluh, 20
go jyuu go	lima puluh lima, 55

issai		1 tahun
nisai		2 tahun
hassai		8 tahun
hatachi		20 tahun
ni jyuu san sai	23 tahun







------------- Bab 3  ------------
kore		ini (dekat pembicara)
sore		itu (dekat lawan bicara)
are		itu (jauh dari pembicara dan lawan bicara)
dore		mana?

hon		buku
shinbun		koran
meishi		kartu nama
anou		eee, anu, maaf (ungkapan ragu ketika ingin memulai pembicaraan)
jisho		kamus
kamera		kamera
pasokon		personal komputer, laptop, pc
kuruma		mobil
techou		buku agenda
ka-do		kartu
nan		apa?
nani		apa?

enpitsu		pensil
bo-rupen	bolpen, bolpoin
sha-pupenshiru	pensil mekanik
tokei		jam
sou		begitu, iya, itu benar
soudesuka	oh, begitu ya
chigaimasu	salah, bukan, tidak
douzo		silahkan (saat menawarkan barang)

eigo		bahasa inggris
nihongo		bahasa jepang
~go		bahasa~
kagi		kunci
zasshi		majalah
kasa		payung
korekara, osewani narimasu	mulai sekarang, mohon bimbingannya

kaban		tas
terebi		televisi
sumaho		smartphone, hp
suma-tofon	smartphone, hp
baiku		sepeda motor
tsukue		meja
isu		kursi
[o]miyage	oleh-oleh
kochirakoso [douzo] yoroshiku [onegaishimasu]	balasan untuk yoroshiku onegaishimasu

# [kosoado + no] diikuti kata benda #
kono		~ini
sono		~itu (dekat)
ano		~itu (jauh)
dono		~mana
no-to		buku catatan, note (setelapak tangan)
okashi		camilan, makanan manis
chokore-to	cokelat
ko-hi-		kopi
ocha		teh









------------- Bab 4  ------------
koko		sini
soko		situ (dekat)
asoko		sana (jauh)
doko		dimana?
kyoushitsu	ruang kelas
shokudou	kantin, ruang makan, rumah makan
jimusho		kantor
kaigishitsu	ruang rapat

kochira		sini (sopan)
sochira		situ (sopan)
achira		sana (sopan)
dochira		mana (sopan)
uketsuke	meja informasi, resepsionis
robi-		lobi, ruang tunggu
heya		kamar
toire		toilet, wc, kamar kecil
otearai		toilet (sopan)

kaidan		tangga
erebe-ta-	elevator, lift
esukare-ta-	eskalator
resutoran	restoran
jidouhanbaiki	mesin jual otomatis, vanding machine
denwa		telepon
[o]kuni		negara
uchi		rumah
sumimasen	maaf, permisi

kutsu		sepatu
nekutai		dasi
fuku		baju, pakaian
wain		wine, anggur
uriba		tempat penjualan
chika		bawah tanah, basement
~kai		lantai~, tingkat~
~gai		lantai~, tingkat~
ikkai		lantai satu, lantai 1
nikai		lantai 2
nangai		lantai berapa
doumo		terima kasih (santai)

itaria		italia
suwisu		swiss
furansu		perancis, france
omocha		mainan
jakaruta	jakarta
bankoku		bangkok
berurin		berlin
shin oosaka	shin-oosaka
bunbougu	alat tulis, stationery
depa-to		toserba, mall
keshouhin	kosmetik, makeup

~en		yen
ikura		berapa
hyaku		~ratus, seratus, 100
nihyaku		dua ratus, 200
sanbyaku	tiga ratus, 300
roppyaku	enam ratus, 600
happayku	delapan ratus, 800
sen		~ribu, seribu, 1000
ni sen		dua ribu, 2000
sanzen		tiga ribu, 3000
man		~puluh ribu, sepuluh ribu, 10000
ichiman gosen	lima belas ribu, 15000
irasshaimase	selamat datang, welcome
[~wo]misete kudasai	tolong perlihatkan ~
[~wo]kudasai	minta~, tolong berikan [saya]~
ja		baiklah, kalau begitu







------------- Bab 5  ------------
ima		sekarang
~ji		jam~
~fun		menit~
~pun		menit~
ichiji		jam 1
niji		jam 2
yoji		jam 4
shichiji	jam 7
kuji		jam 9
ippun		menit 1
nifun		menit 2
sanpun		menit 3
yonpun		menit 4
gofun		menit 5
roppun		menit 6
nanafun		menit 7
happun		menit 8
kyuufun		menit 9
jippun		menit 10
juppun		menit 10
nijyuu nanafun	menit 27
han		setengah (waktu)
shichiji han	7.30, tujuh lewat tiga puluh menit, setengah delapan
nanji		jam berapa
nanpun		berapa menit
gozen		AM (sebelum jam 12 siang, 00.00-11.59)
gogo		PM (setelah jam 12 siang, 12.00-23.59)

getsuyoubi	hari senin
kayoubi		hari selasa
suiyoubi	hari rabu
mokuyoubi	hari kamis
kinyoubi	hari jumat
doyoubi		hari sabtu
nichiyoubi	hari minggu
asa		pagi
hiru		siang

~kara		dari~
~made		sampai~
yuugata		sore
ban		malam
maiasa		setiap pagi
maiban		setiap malam
mainichi	setiap hari
okimasu		bangun
nemasu		tidur

ashita		besok
asatte		lusa
kesa		tadi pagi
konban		malam ini, nanti malam
depa-to		toserba, mall
ginkou		bank
yuubinkyoku	kantor pos
toshokan	perpustakaan, library
bijutsukan	gedung kesenian

hatarakimasu	bekerja
yasumimasu	beristirahat, berlibur (KK)
benkyoushimasu	belajar
owarimasu	selesai
yasumi		istirahat, cuti, libur (KB)
hiruyasumi	istirahat siang
kyou		hari ini
kinou		kemarin
ototoi		kemarin lusa, dua hari yang lalu

rondon		london
shiken		ujian, test
kaigi		rapat (~wo shimasu : melakukan rapat)
eiga		film
bangou		nomor
nanban		nomor berapa
sochira		disitu
taihen		berat, sulit
~to~		~ dan ~ (digunakan untuk menyambung kata benda)








------------- Bab 6  ------------
ikimasu		pergi
kimasu		datang
kaerimasu	pulang
gakkou		sekolah
su-pa-		pasar swalayan, supermarket
eki		stasiun
senshuu		minggu lalu
konshuu		minggu ini
raishuu		minggu depan

hikouki		pesawat terbang
fune		kapal laut
densha		kereta rel listrik
chikatetsu	kereta bawah tanah
sengetsu	bulan lalu
kongetsu	bulan ini
raigetsu	bulan depan

shinkansen	shinkansen
basu		bus
takushi-	taksi
jitensha	sepeda
aruite		dengan berjalan kaki
tanjoubi	ulang tahun
kyonen		tahun lalu
kotoshi		tahun ini
rainen		tahun depan
hito		orang
tomodachi	teman
kare		dia (laki-laki)
kanojo		dia (perempuan)
kazoku		keluarga
hitoride	sendirian
futsuu		biasa
kyuukou		ekspress

~nen		tahun~
nannen		tahun berapa
~gatsu		bulan~
ichigatsu	bulan 1, januari
shigatsu	bulan 4, april
shichigatsu	bulan 7, juli
kugatsu		bulan 9, september
nangatsu	bulan apa?
~nichi		~hari, tanggal~
nannichi	tanggal berapa, berapa hari
itsu		kapan?

tsuitachi	tanggal 1
futsuka		tanggal 2
mikka		tanggal 3
yokka		tanggal 4
itsuka		tanggal 5
muika		tanggal 6
nanoka		tanggal 7
yuuka		tanggal 8
kokonoka	tanggal 9
tooka		tanggal 10
juuyokka	tanggal 14
hatsuka		tanggal 20
nijuuyokka	tanggal 24

furi-ma-ketto	flea market, free market
soudesune	ya betul, ya begitulah
[doumo]arigatou gozaimashita	terima kasih [banyak]
douitashimashite	sama-sama, you are welcome, my pleasure
~bansen		peron nomor~, gerbong nomor~
tsugino		selanjutnya
tokkyou		super ekspres










------------- Bab 7  ------------
tabemasu	makan
nomimasu	minum
suimasu		menghisap
mimasu		melihat, menonton
kikimasu	mendengar
yomimasu	membaca
kakimasu	menulis
kakimasu	menggambar
kaimasu		membeli
